Geography,TARGET_deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,MedianAgeMale,MedianAgeFemale,AvgHouseholdSize,PctBachDeg25_Over,PctUnemployed16_Over,PctMarriedHouseholds,BirthRate
"Wirt County, West Virginia",185.8,455.3,38600,5880,20.3,45.4,44,2.4,7.8,8.4,51.76954733,5.968928863
"Wood County, West Virginia",185.5,488.8,41932,86452,17.2,41.1,44,2.37,12.2,8.6,47.88351017,6.23870268
"Wyoming County, West Virginia",235.4,447.8,34419,22151,22.8,41.5,44.2,2.48,4.5,10.1,54.03848244,6.018614271
"Adams County, Wisconsin",206,467.9,42063,20148,17.8,49.7,53.3,2.47,8.5,10.1,54.12278449,3.861129137
"Ashland County, Wisconsin",217.5,451.5,41294,15843,14.9,40.8,42.8,2.29,14.6,7.9,42.79547484,6.460336538
"Barron County, Wisconsin",168.4,412.1,46375,45563,13.7,42,45.6,2.35,10.6,6,52.64644351,5.884312202
"Bayfield County, Wisconsin",171.7,369.9,44395,14977,13.6,50.5,51.1,2.16,18.9,7.2,52.79664691,5.547054323
"Brown County, Wisconsin",158.6,479.1,54141,258718,12,35.7,37.9,2.46,20,6.1,49.80425278,5.921762149
"Buffalo County, Wisconsin",166.4,385.7,50998,13192,10.5,45.1,44.9,2.29,12.4,3.7,54.08074857,7.17472119
"Burnett County, Wisconsin",190.1,399.2,41810,15159,16.5,50.6,51.4,2.08,11.9,7.5,51.08041575,4.96054115
"Calumet County, Wisconsin",157.9,474.1,68430,49762,5.9,38.4,39.8,2.66,20.6,3.1,62.98229565,4.330985915
"Chippewa County, Wisconsin",160.1,482.4,52485,63531,10.7,39.1,42,2.44,13.5,5.1,55.24062236,5.497771174
"Clark County, Wisconsin",157.6,455.2,45316,34445,16,36.4,38.4,2.65,8.4,4.8,57.41970774,9.86429301
"Columbia County, Wisconsin",176.6,476.1,59020,56743,8.8,41.3,42.7,2.44,15.8,5.8,54.30466505,4.654466449
"Crawford County, Wisconsin",176.4,466.4,43562,16391,14.7,44.2,47.1,2.38,10.1,6.5,51.27585686,5.300353357
"Dane County, Wisconsin",153.8,430.7,61937,523643,13.4,33.7,35.6,2.35,28.3,4.9,45.26843317,4.458527742
"Dodge County, Wisconsin",178.9,437.3,54359,88502,9.9,40.4,43.7,2.51,11.5,6,53.53820299,4.49736915
"Door County, Wisconsin",158.7,449.3,49717,27554,11,50.2,53.2,2.11,19.7,6.2,56.50832819,4.481380181
"Douglas County, Wisconsin",192.8,354.7,46475,43601,13.9,39.8,41.3,2.28,15.4,7,44.24412034,6.150455775
"Dunn County, Wisconsin",155.6,396.1,52224,44497,13.9,33.4,35,2.48,16.2,6.1,51.38981814,5.116736739
"Eau Claire County, Wisconsin",163.4,440.9,48102,102105,14.4,33,34.7,2.43,19.9,5.8,46.89544532,4.346348463
"Florence County, Wisconsin",171.9,308.2,44562,4464,12.8,50.8,51.3,2.32,12,7.2,57.93067227,3.462050599
"Fond du Lac County, Wisconsin",159.4,477,52149,101973,9.9,40.1,41.8,2.4,14.8,5.3,53.51968638,4.541733098
"Forest County, Wisconsin",166.4,490.6,41418,9057,17,44.4,46.4,2.33,8.8,10.1,51.39107612,7.250418293
"Grant County, Wisconsin",166.9,428.2,46972,52250,15,33.2,39.7,2.44,13.1,4.6,51.66349565,5.174434328
"Green County, Wisconsin",158.4,420,53328,37186,8.7,41.3,43.2,2.47,14.8,3.5,55.2736352,5.46031746
"Seward County, Nebraska",152.3,447.2,61802,17110,8.2,36.3,40.7,2.46,18,3.5,60.49149338,9.675645959
"Sheridan County, Nebraska",169.9,356.1,40351,5220,16,45.2,47.8,2.29,17.2,1.4,52.45683931,5.360824742
"Sherman County, Nebraska",187.4,400.6,43883,3091,12.1,47.7,50.5,2.21,10,3.1,53.95787945,7.992565056
"Stanton County, Nebraska",138.2,221.5,55955,5937,9.2,36.8,41.4,2.61,14.2,2.6,61.73052088,5.678233438
"Thayer County, Nebraska",120.2,432.5,49517,5163,10.7,47.6,50.9,2.15,14.8,1.7,59.54720205,6.35451505
"Thurston County, Nebraska",215,453.6,41344,7064,34,27.5,30.3,3.3,9.2,14.4,41.69865643,8.467741935
"Valley County, Nebraska",156.3,350.1,44726,4154,12.3,44.2,46.6,2.21,14.5,1.4,56.87928308,5.01285347
"Washington County, Nebraska",159.2,431.4,69191,20248,7.4,40.1,42.4,2.48,22.6,1.4,62.95743092,5.725611099
"Wayne County, Nebraska",142.1,392,53290,9367,13.6,27.2,32.2,2.33,25.8,3,58.74285714,5.981533521
"Webster County, Nebraska",162.7,495.5,40979,3625,12.7,45.5,49,2.31,12.9,4.7,54.25257732,3.524229075
"York County, Nebraska",164.7,389.2,51335,13806,10.6,38.2,43.6,2.31,19,2,55.1213419,6.993486459
"Churchill County, Nevada",211,453.5494221,46840,24200,13.2,37.1,40.8,2.51,10.9,11.9,49.69920844,7.724034496
"Clark County, Nevada",167.7,453.5494221,51241,2114801,15.6,35.9,37,2.78,15.1,10.8,43.81306543,5.125073246
"Douglas County, Nevada",145.2,453.5494221,60322,47710,10.3,48.7,50,2.37,16.4,8.5,56.13529501,5.193753615
"Elko County, Nevada",143.2,453.5494221,72648,51935,10.8,32.9,34.1,2.87,12.3,5.5,57.82097649,6.700733537
"Esmeralda County, Nevada",262.1,453.5494221,47180,829,14,43,47.5,2.35,12.6,11.9,40.57971014,4.326923077
"Eureka County, Nevada",178.7,453.5494221,70535,2016,9.8,44.9,42.6,2.17,14.2,4.7,56.06258149,2.412868633
"Humboldt County, Nevada",191.5,453.5494221,67423,17019,10.7,34.9,35.4,2.74,8.8,7.8,51.35794438,5.517423442
"Lander County, Nevada",123.8,453.5494221,74347,5903,11,36.4,37.6,2.79,4.7,12,56.90633869,11.63179916
"Lincoln County, Nevada",127.4,453.5494221,45629,5036,15.1,37.3,38.1,2.55,15.9,11.8,59.21402018,4.519774011
"Lyon County, Nevada",195.7,453.5494221,48576,52585,13.7,43.1,43.4,2.63,11.1,13.6,51.96681008,4.62962963
"Mineral County, Nevada",254.3,453.5494221,40714,4478,19,48,49.2,2.25,6.8,15.4,34.42211055,9.518477044
"Nye County, Nevada",213.5,453.5494221,42881,42477,16.8,50.8,50.8,2.42,9.2,13.4,52.18339358,6.302577113
"Pershing County, Nevada",121.8,453.5494221,52001,6634,18.5,39.5,44.1,2.29,7.5,9.5,51.4162266,14.62113127
"Storey County, Nevada",132.6,453.5494221,55291,3987,8.4,54,55.6,2.2,14.1,10.3,52.23542728,1.17820324
"Washoe County, Nevada",166,453.5494221,52862,446903,15.4,36.8,38.4,2.58,18.2,9.1,45.20183955,5.642578635
"White Pine County, Nevada",188.4,453.5494221,57243,9811,13.7,38.4,40.3,2.71,8.8,10.6,53.24756825,5.470459519
"Carson City, Nevada",193.5,453.5494221,45639,54521,19.3,41.2,44.4,2.43,12.8,11.3,42.93785311,4.262413265
"Belknap County, New Hampshire",182.6,508.6,59831,60641,10,45.3,46.8,2.42,19.1,5.3,53.36016587,4.824422651
"Carroll County, New Hampshire",168.8,481.8,57556,47285,10.7,49.3,51,2.22,20,5.8,54.68263699,7.381867511
"Cheshire County, New Hampshire",162.8,489.4,56008,75909,11.8,41.4,42.5,2.34,19.4,6.1,48.86415562,4.687933426
"Coos County, New Hampshire",181.6,459.2,42491,31212,14.9,46.7,49.5,2.13,11.7,6.9,48.23214537,5.975049245
"Grafton County, New Hampshire",155,435.5,56353,89320,11.6,40.5,43.1,2.35,20.2,5,49.5875553,6.078496198
"Hillsborough County, New Hampshire",163.2,482.2,71233,406678,8.7,39.2,41.1,2.55,23,5.9,51.98701098,5.055576216
"Merrimack County, New Hampshire",173.1,507.6,62429,147994,9.5,41.4,43.7,2.49,21.5,5.2,53.12759016,3.901815696
"Rockingham County, New Hampshire",172.2,518.8,79653,301777,6.1,42.6,44.3,2.51,24.6,5.6,57.13535713,4.370734571
"Strafford County, New Hampshire",177.6,502.6,58577,126825,11.8,36.1,38.3,2.48,21.1,6.5,49.94167427,3.681800261
"Sullivan County, New Hampshire",171.9,475.7,57142,42967,10.4,44.4,46.3,2.44,16.4,5.8,49.85074627,3.657874742
"Atlantic County, New Jersey",179.5,505.5,54208,274219,15.1,38.9,42,2.64,17,12.5,44.80543715,4.69661296
"Bergen County, New Jersey",147.3,468.1,84309,938506,7.6,40,42.9,2.73,29.5,6.5,56.4163314,4.077070131
"Burlington County, New Jersey",171.6,531.8,80479,450226,7.2,39.2,42.6,2.66,23.3,8.5,53.74561974,4.910516481
"Camden County, New Jersey",182.8,530.9,61685,510923,13,36.6,40.1,2.71,19.4,10.2,45.97396038,5.434939238
"Cape May County, New Jersey",193.1,559.1,55409,94727,13,46.7,49.9,2.3,19.5,10,51.14075027,5.43325019
"Cumberland County, New Jersey",189.6,511.3,45438,155854,19.5,35.6,38.8,2.86,10.5,11.1,43.66264295,5.846434788
"Essex County, New Jersey",161.8,450.6,54603,797434,16.7,35.4,38.4,2.77,19.8,13,39.00426129,5.084469955
"Gloucester County, New Jersey",193.5,544.2,78983,291479,8.2,38.2,40.8,2.74,19.9,9.2,55.37173438,4.878014043
"Hudson County, New Jersey",152.6,399.5,57720,674836,17.7,33.8,35.6,2.63,23.8,9.3,38.47522277,5.344239425
"Hunterdon County, New Jersey",145.1,496.3,103876,125488,4.7,43.5,46.1,2.6,29.3,5.9,62.07381821,4.22223833
"Mercer County, New Jersey",160.3,504.7,73750,371398,11.8,36.9,39.9,2.69,20.7,9.4,49.8130927,4.725836381
"Middlesex County, New Jersey",156.7,466.7,77330,840900,8.3,36.6,38.9,2.85,24.5,7.5,55.65982883,5.074989438
"Monmouth County, New Jersey",168.6,529.6,87220,628715,8.2,40.9,43.6,2.67,26.1,7.9,55.28066751,4.571872443
"Morris County, New Jersey",150.3,488.5,100511,499509,5,40.8,43.3,2.72,29.8,6.3,59.86962292,3.635690867
"Ocean County, New Jersey",174.2,524.9,62937,588721,11.9,40.4,45.1,2.59,18,8.8,53.40548509,6.13243835
"Passaic County, New Jersey",159.1,448.4,58030,510916,18.2,35.1,37.9,3.09,17.1,8.6,48.72735839,4.533343875
"Salem County, New Jersey",194.8,516.6,56645,64180,13.1,40.2,42.8,2.61,14.3,10.6,49.59953998,5.98109071
"Somerset County, New Jersey",153.3,471,100194,333654,5,39.6,42,2.81,29.2,6,60.66311488,4.842990108
"Sussex County, New Jersey",176.4,493.1,82048,143673,6.2,42.5,44.2,2.67,23.2,8.2,59.78569177,4.625184917
"Union County, New Jersey",155.6,463,68172,555786,11.1,36.5,39.5,2.91,19.7,9.8,49.27138445,5.746896424
"Warren County, New Jersey",175.1,485.9,71294,106869,8.3,41.4,43.7,2.52,19.7,9,54.94516044,4.839230894
"Bernalillo County, New Mexico",147.1,404.1,47192,676685,18.7,35.2,37.9,2.52,17.9,8.4,41.35260379,5.264795797
"Catron County, New Mexico",164.7,375.5,33256,3456,22.2,55.5,58.7,2.44,14.8,4.6,53.13626532,0.689655172
"Chaves County, New Mexico",164.5,375.8,38403,65764,23.4,32.9,36.7,2.72,11.9,7.6,48.11288532,8.496374333
"Cibola County, New Mexico",146.5,375.5,35081,27329,28.8,35.2,37.8,2.98,8.4,15.3,39.63436072,6.744769874
"Colfax County, New Mexico",139.9,377.4,37156,12414,20.5,46.9,48.4,2.26,14.9,9.5,44.21204472,5.741042345
"Curry County, New Mexico",143.8,336.5,42620,50398,19.2,29.3,32.9,2.72,12.6,9.1,48.77216166,7.197033541
"De Baca County, New Mexico",243.6,467.1,33789,1828,20.6,51.2,45.9,3.84,6.8,5.2,41.92307692,0
"Doña Ana County, New Mexico",150.8,381,38974,214295,27.9,31.1,34,2.8,16.2,11.5,48.15681763,5.880465757
"Eddy County, New Mexico",170.8,391.3,57007,57578,14.1,35.3,37.7,2.66,10.7,5.8,49.8110282,9.558702453
"Grant County, New Mexico",159.4,366.5,38221,28609,19.1,44.6,48.1,2.37,12.8,9.7,43.28457447,5.998550199
"Guadalupe County, New Mexico",142.8,361.2,29147,4371,25.8,40.9,41.9,3.28,7.8,1.2,41.44295302,3.558718861
"Hidalgo County, New Mexico",166.3,357,34304,4423,24.5,40.6,42.4,2.47,9.3,12.2,44.58424508,5.485232068
"Lea County, New Mexico",166.2,357.1,58994,71180,16.6,31.5,32.2,3.08,8.1,5.9,55.62963308,7.530333184
"Lincoln County, New Mexico",123.4,363.9,39995,19420,20.1,48.4,51.1,2.33,19.5,7.3,47.57636514,8.532518066
"Los Alamos County, New Mexico",114.5,406.2,108477,17785,4.2,41.8,45.1,2.34,24.9,3.5,59.63230466,5.543652919
"Luna County, New Mexico",181.8,420.6,27268,24518,30.6,38.3,39.2,2.7,6.9,13.8,44.70367094,8.62924023
"McKinley County, New Mexico",137.7,332.9,29497,76708,35.8,29,32.3,3.97,6.7,15.5,39.14033281,7.322096363
"Mora County, New Mexico",134.3,359,27627,4596,24.2,44,42.6,2.81,6.8,5.4,43.34945586,1.084812623
"Otero County, New Mexico",161.1,393,41736,64362,20.2,33.1,37.9,2.63,9,12.7,48.6479635,8.221797323
"Quay County, New Mexico",190.6,412.7,29069,8455,23.9,43.7,48.2,2.59,9.1,5,42.24678817,4.063068526
"Rio Arriba County, New Mexico",155.5,351.8,34902,39465,24.1,39.6,40.6,2.86,10.6,11.4,41.29643117,3.902327704
"Roosevelt County, New Mexico",163.5,360.7,36108,19120,24,28,30.8,2.62,12.8,9.7,45.45454545,4.392712551
"Sandoval County, New Mexico",135.7,395.4,56142,139394,12.6,37.6,40.1,2.83,16.6,9.2,51.87665603,5.497053425
"San Juan County, New Mexico",136.7,356.1,47520,118737,21,33.1,35.2,3.04,9.1,9.2,48.79315011,6.09617959
"San Miguel County, New Mexico",158.2,355.6,32964,27967,25.5,42.1,42.9,2.51,10.5,6.4,31.9243604,5.744748568
"Santa Fe County, New Mexico",126.1,374.3,52628,148686,14.2,42.7,46.2,2.35,20.4,7.9,43.68165547,4.017424976
"Sierra County, New Mexico",190.3,424.2,29036,11282,23.8,54.7,56.5,2.25,12.3,6.8,44.70658208,8.198614319
"Socorro County, New Mexico",167.8,404.4,32285,17256,31,33.9,42.8,3.43,10.6,7.3,36.04204568,2.688172043
"Taos County, New Mexico",135.2,339,36125,32907,19.2,46.1,48.5,2.44,16.9,10.7,41.50030248,4.706601467
"Torrance County, New Mexico",164.3,558.5,37311,15485,27.6,43.1,43.5,2.81,10.4,11.2,50.52141527,2.98792117
"Union County, New Mexico",151.6,303,36684,4201,19.4,38.2,45.2,2.39,11,2.1,47.01731879,3.536585366
"Valencia County, New Mexico",163.1,402.3,40591,75737,24.5,36.9,40,2.78,10.8,12.4,51.14469717,6.407674997
"Albany County, New York",176.1,505.9,60371,309381,13.5,36.4,39.6,2.35,20.1,6.4,40.08229986,3.774039071
"Allegany County, New York",177.2,490.7,42655,47462,18.3,36.8,39.7,2.36,9.8,9.2,49.29176921,4.844731809
"Bronx County, New York",162,455.3,33687,1455444,31.5,30.9,35.2,2.86,12.3,14,27.30922949,5.67890152
"Broome County, New York",163.6,494.4,46283,196567,17.2,37.8,42,2.37,15,7.8,43.30106657,4.2987606
"Cattaraugus County, New York",167.9,517.8,43892,77922,16.2,40.6,42.1,2.41,10.3,8.2,46.90374585,4.82052462
"Cayuga County, New York",158.6,470.8,52792,78288,12.7,41.2,44,2.43,12.5,7.3,45.81880408,5.470136014
"Chautauqua County, New York",173.2,550.1,41757,130779,19.3,40.2,43.1,2.36,11.3,7.8,45.57763418,6.073151538
"Chemung County, New York",183.8,508.2,48880,87071,18.2,39.6,42.3,2.35,12.8,5.4,45.98629397,5.089635277
"Chenango County, New York",180.3,512.4,46387,48844,16.7,42.6,45,2.49,9.5,7.1,49.42212718,5.052412881
"Henry County, Virginia",194.2,437.1,34842,51881,20.5,43.6,47.5,2.32,7.3,10,47.92326567,6.007452513
"Highland County, Virginia",111.3,327,38636,2214,14.6,60.2,58.2,2.1,14.6,1.1,53.59477124,10.79136691
"Isle of Wight County, Virginia",200.6,460.2,64350,36314,10.2,43.4,46,2.57,17.3,8.3,59.93899339,3.667228197
"James City County, Virginia",149,423,75926,73147,7.9,43.4,46.7,2.49,26.5,5.1,57.275,4.819607038
"King and Queen County, Virginia",180.3,383.4,46331,7158,14.8,42.8,48.4,2.46,12.5,5.5,49.61990325,9.290030211
"King George County, Virginia",195.7,491.5,76206,25515,7.5,36.3,37.3,2.96,19,7.4,61.9525003,6.194544857
"King William County, Virginia",187.4,514.8,64305,16269,8.8,40,41.5,2.66,12.5,5.4,60.48707753,6.631716907
"Lancaster County, Virginia",190.6,446.8,45827,10965,13.7,53.4,57.2,2.13,15.3,7.9,44.2680093,4.297328688
"Lee County, Virginia",224.2,330.5,31429,24742,26.6,40.3,46.2,2.52,7.6,12,51.50873478,6.208251473
"Loudoun County, Virginia",136.5,364.9,122641,375629,3.9,34.9,35.6,3.08,34.8,4,65.51325905,6.198748382
"Louisa County, Virginia",191,456.9,60121,34602,11.5,42.8,44.4,2.64,13,8.1,58.25863279,5.015546843
"Lunenburg County, Virginia",189.8,404.1,37548,12299,22.4,43.2,46.6,2.48,8.1,7.3,47.05491585,7.48049564
"Madison County, Virginia",169.8,463.3,52513,13134,12.3,44.3,45.2,2.58,14.4,6.6,53.72776334,6.25698324
"Mathews County, Virginia",157.1,444.9,58268,8862,10.6,50.8,51.3,2.3,16.2,3.3,60.61481871,1.906898486
"Mecklenburg County, Virginia",213.7,445.1,38500,31081,21.1,45.2,49.3,2.41,9.8,6.9,43.75901298,4.664723032
"Middlesex County, Virginia",206.9,525.6,48921,10606,14.4,51,53.7,2.38,15.3,6.3,53.80009212,2.71468144
"Montgomery County, Virginia",153.3,396.2,43484,97653,24.8,26.2,29.6,2.48,23.2,5.6,43.44441603,3.135414054
"Nelson County, Virginia",194.3,526.7,48076,14785,13.4,45.7,49.4,2.33,14.4,5.7,44.34453384,5.74048913
"New Kent County, Virginia",201.4,454.3,72406,20392,6.2,41.9,44.5,2.61,16.7,6.1,63.5566516,2.628490965
"Northampton County, Virginia",227.1,527.2,36822,12155,21.5,45.2,50.5,2.26,14,9.5,41.0632622,6.455750321
"Northumberland County, Virginia",190.5,450.4,51422,12232,14.3,54.8,55.7,2.1,16.1,8.7,54.34226241,7.278020378
"Nottoway County, Virginia",201.5,508,37996,15673,24.3,41,43.9,2.54,10.5,10.8,44.24762927,7.331771008
"Orange County, Virginia",177.3,503.5,59282,35385,10.7,41,44,2.66,15.2,7.9,56.73692428,2.100668394
